Product Name,Category,Total Qty,Wishlists,Buy Price,Sell Price,URL,Barcode,Manufacturer SKU,ASIN,MSRP,Brand,Weight,Description,Max Qty,Domestic Only,Tax Exempt
Call to the Feast - Foil,Ixalan,0,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/call_to_the_feast__foil/1534413,,,B075NVBZ62,0.00,"",0.005,"",4,,false
Conqueror's Galleon // Conqueror's Foothold - Foil,Ixalan,1,0,0.00,1.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/conquerors_galleon__conquerors_foothold__foil/1534423,,,B075NTVWC7,0.00,"",0.005,"",4,,false
Deadeye Plunderers - Foil,Ixalan,3,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deadeye_plunderers__foil/1534433,,,B075NVZ7XW,0.00,"",0.005,"",4,,false
Deadeye Quartermaster - Foil,Ixalan,3,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deadeye_quartermaster__foil/1534443,,,B075NT8D91,0.00,"",0.005,"",4,,false
Deathless Ancient - Foil,Ixalan,1,0,0.00,0.75,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deathless_ancient__foil/1534453,,,B075NVNCK4,0.00,"",0.005,"",4,,false
Deeproot Waters - Foil,Ixalan,0,0,0.00,1.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/deeproot_waters__foil/1534463,,,B075NV1YSK,0.00,"",0.005,"",4,,false
Arguel's Blood Fast // Temple of Aclazotz,Ixalan,33,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/arguels_blood_fast__temple_of_aclazotz/1534473,,,B075NXYR1S,0.00,"",0.005,"",4,,false
Chart a Course,Ixalan,2,0,0.00,1.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/chart_a_course/1534483,,,B075NXJG5Q,0.00,"",0.005,"",4,,false
Commune with Dinosaurs,Ixalan,60,0,0.00,0.25,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/commune_with_dinosaurs/1534493,,,B075NY493F,0.00,"",0.005,"",4,,false
Arguel's Blood Fast // Temple of Aclazotz - Foil,Ixalan,0,0,0.00,2.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/arguels_blood_fast__temple_of_aclazotz__foil/1534503,,,B075QMX5WS,0.00,"",0.005,"",4,,false
